Author,Background,Category,Date,Language,Permalink,Tags,Title,Quote
Michel de Montaigne, https://theysaidso.com/img/qod/qod-inspire.jpg, inspire, 2020-11-09, en, https://theysaidso.com/quote/michel-de-montaigne-things-are-not-bad-in-themselves-but-our-cowardice-makes-the, cowardice, Inspiring Quote of the day, Things are not bad in themselves, but our cowardice makes them so.
 Michel de Montaigne, https://theysaidso.com/img/qod/qod-inspire.jpg, inspire, 2020-11-09, en, https://theysaidso.com/quote/michel-de-montaigne-things-are-not-bad-in-themselves-but-our-cowardice-makes-the, inspire, Inspiring Quote of the day, Things are not bad in themselves, but our cowardice makes them so.
 Michel de Montaigne, https://theysaidso.com/img/qod/qod-inspire.jpg, inspire, 2020-11-09, en, https://theysaidso.com/quote/michel-de-montaigne-things-are-not-bad-in-themselves-but-our-cowardice-makes-the, leadership, Inspiring Quote of the day, Things are not bad in themselves, but our cowardice makes them so.
 Michel de Montaigne, https://theysaidso.com/img/qod/qod-inspire.jpg, inspire, 2020-11-09, en, https://theysaidso.com/quote/michel-de-montaigne-things-are-not-bad-in-themselves-but-our-cowardice-makes-the, tso-life, Inspiring Quote of the day, Things are not bad in themselves, but our cowardice makes them so.
